"Provider No.","Facility Name","Facility Type","Facility Subtype","Street Address","City","State","ZIP Code","Telephone","No. of Beds","No. of Certified Beds","No. of Medicaid Nursing Beds","No. of Skilled Nursing Beds","No. of ICF/MR Beds","No. of Physicians","No. of Physician Assistants","No. of Nurse Practitioners","No. of Direct Care Personnel","No. of Other Personnel","Employee Count","Federally Funded Health Center Indicator","Rural Health Center Provider Number","Rural Health Clinic Indicator","Facility Type Description"
"144043","MONTROSE BEHAVIORAL HEALTH HOSPITAL","Hospital","Psychiatric","4720 N Clarendon Ave","Chicago","Illinois","60640-5122","773-878-9700","","","","","","2.00","","","","55.50","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"149801","UNIVERSITY OF CHICAGO HOSPITALS","Hospital","Transplant Hospitals","5841 S Maryland Ave","Chicago","Illinois","60637-1443","773-702-1000","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149802","LOYOLA UNIVERSITY MEDICAL CENTER","Hospital","Transplant Hospitals","2160 S 1st Ave","Maywood","Illinois","60153-3328","708-216-9000","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149803","RUSH UNIVERSITY MEDICAL CENTER","Hospital","Transplant Hospitals","1653 W Congress Pkwy","Chicago","Illinois","60612-3833","312-942-5000","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149804","ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO","Hospital","Transplant Hospitals","225 E Chicago Ave, #57","Chicago","Illinois","60611-2991","773-880-4092","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149805","UNIVERSITY OF ILLINOIS MEDICAL CENTER","Hospital","Transplant Hospitals","1740 W Taylor St","Chicago","Illinois","60612-7232","312-996-3900","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149806","NORTHWESTERN MEMORIAL HOSPITAL","Hospital","Transplant Hospitals","251 E Huron St","Chicago","Illinois","60611-2908","312-695-1705","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149807","ST FRANCIS MEDICAL CENTER TRANSPLANT","Hospital","Transplant Hospitals","530 NE Glen Oak Ave","Peoria","Illinois","61637-0001","309-655-4101","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149808","MEMORIAL MEDICAL CENTER","Hospital","Transplant Hospitals","701 N 1st St","Springfield","Illinois","62781-0001","217-757-7886","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"149809","ADVOCATE CHRIST MEDICAL CENTER","Hospital","Transplant Hospitals","4400 W 95th St","Oak Lawn","Illinois","60453-2654","708-684-2653","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150001","JOHNSON MEMORIAL HOSPITAL","Hospital","Short Term","1125 W Jefferson St","Franklin","Indiana","46131-2140","317-736-3300","","","","","","35.00","","","","430.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150002","METHODIST HOSPITALS INC","Hospital","Short Term","600 Grant St","Gary","Indiana","46402","219-886-4000","","","","","","36.60","","","","1091.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150005","HENDRICKS REGIONAL HEALTH","Hospital","Short Term","1000 E Main St","Danville","Indiana","46122-1948","317-745-4451","","","","","","81.00","","","","916.82","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150006","NORTHWEST HEALTH-LA PORTE","Hospital","Short Term","1331 State St","La Porte","Indiana","46350-3112","219-326-1234","","","","","","57.00","","","","755.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150007","COMMUNITY HOWARD REGIONAL HEALTH INC","Hospital","Short Term","3500 S Lafountain St","Kokomo","Indiana","46902-3803","765-776-8000","","","","","","31.00","","","","600.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150008","ST CATHERINE HOSPITAL INC","Hospital","Short Term","4321 Fir St","East Chicago","Indiana","46312-3049","219-392-7004","","","","","","5.70","","","","432.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150009","NORTON CLARK HOSPITAL","Hospital","Short Term","1220 Missouri Ave","Jeffersonville","Indiana","47130-3725","812-283-2147","","","","","","24.50","","","","863.60","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150010","ASCENSION ST VINCENT KOKOMO","Hospital","Short Term","1907 W Sycamore St","Kokomo","Indiana","46901-5148","765-452-5611","","","","","","8.20","","","","324.60","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150011","MARION GENERAL HOSPITAL","Hospital","Short Term","441 N Wabash Ave","Marion","Indiana","46952-2612","765-660-6000","","","","","","40.48","","","","458.81","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150012","SAINT JOSEPH REGIONAL MEDICAL CENTER","Hospital","Short Term","5215 Holy Cross Pkwy","Mishawaka","Indiana","46545-1469","574-335-5000","","","","","","16.10","","","","933.79","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150015","FRANCISCAN HEALTH MICHIGAN CITY","Hospital","Short Term","3500 Franciscan Way","Michigan City","Indiana","46360-0021","219-879-8511","","","","","","3.00","","","","412.60","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150017","LUTHERAN HOSPITAL OF INDIANA","Hospital","Short Term","7950 W Jefferson Blvd","Fort Wayne","Indiana","46804-4140","260-435-7001","","","","","","1.30","","","","1358.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150018","ELKHART GENERAL HOSPITAL","Hospital","Short Term","600 East Blvd","Elkhart","Indiana","46514-2483","574-294-2621","","","","","","0.00","","","","752.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15001F","US ARMY HOSP","Hospital","Data not provided by CMS","8901 Otis Ave","Indianapolis","Indiana","46216","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","Hospital","Short Term","11109 Parkview Plaza Dr","Fort Wayne","Indiana","46845-1701","260-266-1000","","","","","","0.00","","","","1637.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150022","FRANCISCAN HEALTH CRAWFORDSVILLE","Hospital","Short Term","1710 Lafayette Rd","Crawfordsville","Indiana","47933-1033","765-362-2800","","","","","","0.00","","","","15.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150023","UNION HOSPITAL INC","Hospital","Short Term","1606 N 7th St","Terre Haute","Indiana","47804-2706","812-238-7606","","","","","","26.60","","","","886.40","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150024","ESKENAZI HEALTH","Hospital","Short Term","720 Eskenazi Ave","Indianapolis","Indiana","46202-5187","317-880-4818","","","","","","9.00","","","","2896.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150026","GOSHEN HOSPITAL","Hospital","Short Term","200 High Park Ave","Goshen","Indiana","46526-4810","574-364-1000","","","","","","4.90","","","","540.53","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15002F","VA NORTHERN INDIANA HEALTH CARE SYSTEM-FT WAYNE","Hospital","Data not provided by CMS","2121 Lake Ave","Fort Wayne","Indiana","46805-5100","260-426-5431","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150030","HENRY COUNTY MEMORIAL HOSPITAL","Hospital","Short Term","1000 N 16th St","New Castle","Indiana","47362-4319","765-521-0890","","","","","","30.50","","","","381.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150034","ST MARY MEDICAL CENTER INC","Hospital","Short Term","1500 S Lake Park Ave","Hobart","Indiana","46342-6699","219-942-0551","","","","","","17.20","","","","718.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150035","NORTHWEST  HEALTH- PORTER","Hospital","Short Term","85 E US Highway 6","Valparaiso","Indiana","46383-8947","219-983-8300","","","","","","0.80","","","","120.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150037","HANCOCK REGIONAL HOSPITAL","Hospital","Short Term","801 N State St","Greenfield","Indiana","46140-1270","317-462-5544","","","","","","8.50","","","","341.75","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15003F","RICHARD L ROUDEBUSH VA MEDICAL CENTE","Hospital","Data not provided by CMS","1481 W 10th St","Indianapolis","Indiana","46202-2803","317-554-5404","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150042","GOOD SAMARITAN HOSPITAL","Hospital","Short Term","520 S 7th St","Vincennes","Indiana","47591-1038","812-882-5220","","","","","","39.04","","","","924.78","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150044","BAPTIST HEALTH FLOYD","Hospital","Short Term","1850 State St","New Albany","Indiana","47150-4990","812-944-7701","","","","","","72.30","","","","1366.33","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150045","PARKVIEW DEKALB HOSPITAL","Hospital","Short Term","1316 E Seventh St","Auburn","Indiana","46706-2542","260-925-4600","","","","","","0.00","","","","171.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150046","TERRE HAUTE REGIONAL HOSPITAL","Hospital","Short Term","3901 S 7th St","Terre Haute","Indiana","47802-5709","812-232-0021","","","","","","0.00","","","","277.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150047","LUTHERAN DOWNTOWN HOSPITAL","Hospital","Short Term","702 Van Buren St","Fort Wayne","Indiana","46802-3697","260-425-3000","","","","","","0.00","","","","255.20","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150048","REID HEALTH","Hospital","Short Term","1100 Reid Pkwy","Richmond","Indiana","47374-1157","765-983-3000","","","","","","0.00","","","","856.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15004F","VA NORTHERN INDIANA HLTH CARE SYSTEM-MARION CAMPUS","Hospital","Data not provided by CMS","1700 E 38th St","Marion","Indiana","46953-4568","765-674-3321","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150051","IU HEALTH BLOOMINGTON HOSPITAL","Hospital","Short Term","E Discovery Pkwy","Bloomington","Indiana","47408","812-353-5252","","","","","","12.30","","","","1348.99","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150056","INDIANA UNIVERSITY HEALTH","Hospital","Short Term","1701 Senate Blvd","Indianapolis","Indiana","46202-1239","317-962-2000","","","","","","439.00","","","","7485.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150057","FRANCISCAN HEALTH MOORESVILLE","Hospital","Short Term","1201 Hadley Rd","Mooresville","Indiana","46158-1737","317-831-1160","","","","","","0.00","","","","171.99","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150058","MEMORIAL HOSPITAL OF SOUTH BEND","Hospital","Short Term","615 N Michigan St","South Bend","Indiana","46601-1033","574-647-1000","","","","","","0.00","","","","1256.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150059","RIVERVIEW HEALTH","Hospital","Short Term","395 Westfield Rd","Noblesville","Indiana","46060-1425","317-773-0760","","","","","","44.00","","","","583.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15005F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","BUNKER HILL AFB","Peru","Indiana","46970","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150061","DAVIESS COMMUNITY HOSPITAL","Hospital","Short Term","1314 E Walnut St","Washington","Indiana","47501-2860","812-254-2760","","","","","","10.00","","","","80.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150065","SCHNECK MEDICAL CENTER","Hospital","Short Term","411 W Tipton St","Seymour","Indiana","47274-2363","812-522-2349","","","","","","15.80","","","","436.90","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150069","NORTON-KING'S DAUGHTERS' HEALTH","Hospital","Short Term","1373 N SR 62","Madison","Indiana","47250-7328","812-801-0105","","","","","","40.80","","","","536.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15006F","US PENITENTIARY HOSP","Hospital","Data not provided by CMS","ROUTE 1","Terre Haute","Indiana","47808","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150072","MEMORIAL HOSPITAL","Hospital","Short Term","1101 Michigan Ave","Logansport","Indiana","46947-1528","574-753-7541","","","","","","28.00","","","","313.20","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150074","COMMUNITY HOSPITAL EAST","Hospital","Short Term","1500 N Ritter Ave","Indianapolis","Indiana","46219-3027","317-355-5411","","","","","","47.80","","","","1819.98","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150075","BLUFFTON REGIONAL MEDICAL CENTER","Hospital","Short Term","303 S Main St","Bluffton","Indiana","46714-2503","260-824-3210","","","","","","0.00","","","","143.64","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150076","SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH","Hospital","Short Term","1915 Lake Ave","Plymouth","Indiana","46563-9366","574-948-4000","","","","","","1.00","","","","140.68","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150082","DEACONESS HOSPITAL INC","Hospital","Short Term","600 Mary St","Evansville","Indiana","47710-1658","812-450-5000","","","","","","160.20","","","","2187.70","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150084","ASCENSION ST VINCENT HOSPITAL","Hospital","Short Term","2001 W 86th St","Indianapolis","Indiana","46260-1902","317-338-7000","","","","","","259.00","","","","2957.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150086","ST ELIZABETH DEARBORN HOSPITAL","Hospital","Short Term","600 Wilson Creek Rd","Lawrenceburg","Indiana","47025-2751","812-497-7665","","","","","","4.10","","","","359.57","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150088","ASCENSION ST VINCENT ANDERSON","Hospital","Short Term","2015 Jackson St","Anderson","Indiana","46016-4337","765-646-8238","","","","","","12.00","","","","731.70","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150089","INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","Hospital","Short Term","2401 W University Ave","Muncie","Indiana","47303-3428","765-747-3111","","","","","","28.35","","","","1464.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150090","FRANCISCAN HEALTH DYER","Hospital","Short Term","24 Joliet St","Dyer","Indiana","46311-1705","219-865-2141","","","","","","26.00","","","","310.85","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150091","PARKVIEW HUNTINGTON HOSPITAL","Hospital","Short Term","2001 Stults Rd","Huntington","Indiana","46750-1291","260-355-3000","","","","","","0.00","","","","115.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150097","MAJOR HOSPITAL","Hospital","Short Term","2451 Intelliplex Dr","Shelbyville","Indiana","46176-8580","317-392-3211","","","","","","0.00","","","","369.70","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15009E","NORTHERN INDIANA CHILDRENS HOSP","Hospital","Data not provided by CMS","1234 N Notre Dame Ave","South Bend","Indiana","46617-1404","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150100","ASCENSION ST VINCENT EVANSVILLE","Hospital","Short Term","3700 Washington Ave","Evansville","Indiana","47714-0541","812-485-4000","","","","","","30.70","","","","1473.10","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150101","PARKVIEW WHITLEY HOSPITAL","Hospital","Short Term","1260 E State Road 205","Columbia City","Indiana","46725-9492","260-248-9301","","","","","","64.00","","","","79.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150102","NORTHWEST HEALTH- STARKE","Hospital","Short Term","102 E Culver Rd","Knox","Indiana","46534-2216","574-772-1102","","","","","","0.00","","","","10.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150104","WITHAM HEALTH SERVICES","Hospital","Short Term","2605 N Lebanon St","Lebanon","Indiana","46052-1476","765-485-8000","","","","","","39.30","","","","320.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150109","FRANCISCAN HEALTH LAFAYETTE","Hospital","Short Term","1701 S Creasy Ln","Lafayette","Indiana","47905-4972","765-502-4334","","","","","","0.00","","","","1007.90","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15010E","NOTRE DAME UNIVERSITY HOSP","Hospital","Data not provided by CMS","","Notre Dame","Indiana","46556","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150112","COLUMBUS REGIONAL HOSPITAL","Hospital","Short Term","2400 17th St","Columbus","Indiana","47201-5351","812-379-4441","","","","","","2.64","","","","986.17","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150113","COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","Hospital","Short Term","1515 N Madison Ave","Anderson","Indiana","46011-3453","765-298-4242","","","","","","7.00","","","","704.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150115","MEMORIAL HOSPITAL AND HEALTH CARE CENTER","Hospital","Short Term","800 W 9th St","Jasper","Indiana","47546-2514","812-996-2345","","","","","","57.00","","","","699.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15011E","CULVER MILITARY ACADEMY HOSP UNIT","Hospital","Data not provided by CMS","","Culver","Indiana","46511","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150125","COMMUNITY HOSPITAL","Hospital","Short Term","901 Macarthur Blvd","Munster","Indiana","46321-2901","219-836-1600","","","","","","44.00","","","","330.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150126","FRANCISCAN HEALTH CROWN POINT","Hospital","Short Term","12750 Saint Francis Dr","Crown Point","Indiana","46307-0264","219-757-6100","","","","","","0.00","","","","427.91","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150128","COMMUNITY HOSPITAL SOUTH","Hospital","Short Term","1402 E County Line Rd","Indianapolis","Indiana","46227-0963","317-887-7000","","","","","","1.50","","","","327.61","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"15012E","NEWBY HOSP","Hospital","Data not provided by CMS","359 E Lagrange Rd","Hanover","Indiana","47243","","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"150133","LUTHERAN KOSCIUSKO HOSPITAL","Hospital","Short Term","2101 Dubois Dr","Warsaw","Indiana","46580-3210","574-267-3200","","","","","","39.00","","","","304.22","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150146","PARKVIEW NOBLE HOSPITAL","Hospital","Short Term","401 N Sawyer Rd","Kendallville","Indiana","46755-2568","260-347-8700","","","","","","0.00","","","","113.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150149","WOMEN'S HOSPITAL THE","Hospital","Short Term","4199 Gateway Blvd","Newburgh","Indiana","47630-8940","812-842-4200","","","","","","7.00","","","","169.60","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150150","DUPONT HOSPITAL LLC","Hospital","Short Term","2520 E Dupont Rd","Fort Wayne","Indiana","46825-1675","260-416-3000","","","","","","0.00","","","","346.70","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150153","ASCENSION ST VINCENT HEART CENTER","Hospital","Short Term","10580 N Meridian St","Carmel","Indiana","46290-1028","317-583-5000","","","","","","0.00","","","","146.54","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150157","ASCENSION ST VINCENT CARMEL","Hospital","Short Term","13500 N Meridian St","Carmel","Indiana","46032-1456","317-582-7901","","","","","","9.00","","","","191.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150158","IU HEALTH WEST HOSPITAL","Hospital","Short Term","1111 N Ronald Reagan Pkwy","Avon","Indiana","46123-7085","317-217-3000","","","","","","0.00","","","","335.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150160","ORTHOINDY HOSPITAL","Hospital","Short Term","8400 Northwest Blvd","Indianapolis","Indiana","46278-1381","317-956-1000","","","","","","0.00","","","","143.95","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150161","INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","Hospital","Short Term","11700 N Meridian St","Carmel","Indiana","46032-4656","317-688-2000","","","","","","1.00","","","","559.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150162","FRANCISCAN HEALTH INDIANAPOLIS","Hospital","Short Term","8111 S Emerson Ave","Indianapolis","Indiana","46237-8601","317-528-5000","","","","","","8.00","","","","1274.10","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150165","FRANCISCAN HEALTH MUNSTER","Hospital","Short Term","701 Superior Ave","Munster","Indiana","46321-4037","219-922-4200","","","","","","2.80","","","","197.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150166","PINNACLE HOSPITAL","Hospital","Short Term","9301 Connecticut Dr","Crown Point","Indiana","46307-7486","219-756-2100","","","","","","1.00","","","","93.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150167","ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC","Hospital","Short Term","11130 Parkview Circle Dr","Fort Wayne","Indiana","46845-1735","260-672-4050","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150168","THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR","Hospital","Short Term","7952 W Jefferson Blvd","Fort Wayne","Indiana","46804-4140","260-435-2999","","","","","","0.00","","","","89.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150169","COMMUNITY HOSPITAL NORTH","Hospital","Short Term","7150 Clearvista Dr","Indianapolis","Indiana","46256-1695","317-621-5335","","","","","","23.60","","","","478.20","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150172","PHYSICIANS' MEDICAL CENTER LLC","Hospital","Short Term","4023 Reas Ln","New Albany","Indiana","47150-2228","812-206-7660","","","","","","0.00","","","","29.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150173","INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","Hospital","Short Term","5165 McCarty Ln","Lafayette","Indiana","47905-8764","765-448-8000","","","","","","40.80","","","","401.70","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150177","UNITY PHYSICIANS HOSPITAL","Hospital","Short Term","4455 Edison Lakes Pkwy","Mishawaka","Indiana","46545-1414","574-231-6800","","","","","","6.00","","","","73.40","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150179","COMMUNITY FAIRBANKS RECOVERY CENTER","Hospital","Short Term","8102 Clearvista Pkwy","Indianapolis","Indiana","46256-1661","317-849-8222","","","","","","2.00","","","","153.04","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150181","ASCENSION ST VINCENT FISHERS","Hospital","Short Term","13861 Olio Rd","Fishers","Indiana","46037-3487","317-415-9000","","","","","","0.50","","","","45.25","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150183","MONROE HOSPITAL","Hospital","Short Term","4011 S Monroe Medical Park Blvd","Bloomington","Indiana","47403-8000","812-825-1111","","","","","","1.00","","","","143.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150193","FRANCISCAN HEALTH ORTHOPEDIC HOSPITAL CARMEL","Hospital","Short Term","10777 Illinois St","Carmel","Indiana","46032-8972","574-256-3935","","","","","","105.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"150195","UCHICAGO MEDICINE NORTHWEST INDIANA","Hospital","Short Term","10855 Virginia St","Crown Point","Indiana","46307-0210","312-755-4706","","","","","","0.00","","","","5.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"151300","COMMUNITY HOSPITAL OF BREMEN INC","Hospital","Critical Access Hospitals","1020 High Rd","Bremen","Indiana","46506-1093","574-546-2211","","","","","","0.00","","","","60.10","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151301","ASCENSION ST VINCENT RANDOLPH","Hospital","Critical Access Hospitals","473 SE Greenville Ave","Winchester","Indiana","47394-9436","765-584-0004","","","","","","3.00","","","","120.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151303","ASCENSION ST VINCENT JENNINGS","Hospital","Critical Access Hospitals","301 Henry St","North Vernon","Indiana","47265-1030","812-352-4228","","","","","","2.00","","","","86.80","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151304","RUSH MEMORIAL HOSPITAL","Hospital","Critical Access Hospitals","1300 N Main St","Rushville","Indiana","46173-1116","765-932-7513","","","","","","12.00","","","","185.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151305","PULASKI MEMORIAL HOSPITAL","Hospital","Critical Access Hospitals","616 E 13th St","Winamac","Indiana","46996-1117","574-946-2100","","","","","","7.50","","","","156.15","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151306","INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL","Hospital","Critical Access Hospitals","642 W Hospital Rd","Paoli","Indiana","47454-9672","812-723-2811","","","","","","3.80","","","","136.91","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151307","ASCENSION ST VINCENT WILLIAMSPORT","Hospital","Critical Access Hospitals","412 N Monroe St","Williamsport","Indiana","47993-1049","765-762-4001","","","","","","7.00","","","","106.25","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151308","ASCENSION ST VINCENT MERCY","Hospital","Critical Access Hospitals","1331 S A St","Elwood","Indiana","46036-1942","765-552-4743","","","","","","0.00","","","","50.40","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151309","ASCENSION ST VINCENT CLAY","Hospital","Critical Access Hospitals","1206 E National Ave","Brazil","Indiana","47834-2718","812-442-2500","","","","","","0.50","","","","65.30","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151310","PARKVIEW WABASH HOSPITAL, INC","Hospital","Critical Access Hospitals","10 John Kissinger Dr","Wabash","Indiana","46992-1648","260-563-3131","","","","","","0.00","","","","166.75","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151311","INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC","Hospital","Critical Access Hospitals","1000 S Main St","Tipton","Indiana","46072-9753","765-675-8500","","","","","","9.00","","","","186.90","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"151312","INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL","Hospital","Critical Access Hospitals","720 S 6th St","Monticello","Indiana","47960-8182","574-583-7111","","","","","","0.00","","","","117.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
